	0
0	NSE/SPHEREGSL
1	NSE/PKTEA
2	NSE/COFFEEDAY
3	NSE/GOCLCORP
4	NSE/INDIGO
5	NSE/20MICRONS
6	NSE/3IINFOTECH
7	NSE/3MINDIA
8	NSE/AARTIDRUGS
9	NSE/AARTIIND
10	NSE/ADVANTA
11	NSE/AEGISCHEM
12	NSE/AFL
13	NSE/AGCNET
14	NSE/AGRODUTCH
15	NSE/ALMONDZ
16	NSE/ALOKTEXT
17	NSE/ALPHAGEO
18	NSE/AMARAJABAT
19	NSE/AMBIKCO
20	NSE/EQ30
21	NSE/ALBERTDAVD
22	NSE/ARMANFIN
23	NSE/PINCON
24	NSE/SALONA
