	0
0	NSE/SPHEREGSL
1	NSE/PKTEA
2	NSE/COFFEEDAY
3	NSE/GOCLCORP
4	NSE/INDIGO
5	NSE/SPHEREGSL
6	NSE/PKTEA
7	NSE/COFFEEDAY
8	NSE/GOCLCORP
9	NSE/INDIGO
10	NSE/ORCHIDPHAR
11	NSE/VIKASECO
12	NSE/ALKEM
13	NSE/LALPATHLAB
14	NSE/LICNETFGSC
15	NSE/BHARATIDIL
16	NSE/KAMDHENU
17	NSE/RDEL
18	NSE/KDDL
19	NSE/GOKULAGRO
20	NSE/APTECHT
21	NSE/ARCHIES
22	NSE/ARIES
23	NSE/ARIHANT
24	NSE/AROGRANITE
