	0
0	NSE/SPHEREGSL
1	NSE/PKTEA
2	NSE/COFFEEDAY
3	NSE/GOCLCORP
4	NSE/INDIGO
5	NSE/20MICRONS
6	NSE/3IINFOTECH
7	NSE/3MINDIA
8	NSE/AARTIDRUGS
9	NSE/AARTIIND
10	NSE/ADVANTA
11	NSE/AEGISCHEM
12	NSE/AFL
13	NSE/AGCNET
14	NSE/AGRODUTCH
15	NSE/BHARATIDIL
16	NSE/KAMDHENU
17	NSE/RDEL
18	NSE/KDDL
19	NSE/GOKULAGRO
20	NSE/EQ30
21	NSE/ALBERTDAVD
22	NSE/ARMANFIN
23	NSE/PINCON
24	NSE/SALONA
