	0
0	NSE/20MICRONS
1	NSE/3IINFOTECH
2	NSE/3MINDIA
3	NSE/AARTIDRUGS
4	NSE/AARTIIND
5	NSE/SPHEREGSL
6	NSE/PKTEA
7	NSE/COFFEEDAY
8	NSE/GOCLCORP
9	NSE/INDIGO
10	NSE/ADVANTA
11	NSE/AEGISCHEM
12	NSE/AFL
13	NSE/AGCNET
14	NSE/AGRODUTCH
15	NSE/BHARATIDIL
16	NSE/KAMDHENU
17	NSE/RDEL
18	NSE/KDDL
19	NSE/GOKULAGRO
20	NSE/APTECHT
21	NSE/ARCHIES
22	NSE/ARIES
23	NSE/ARIHANT
24	NSE/AROGRANITE
