	0
0	NSE/20MICRONS
1	NSE/3IINFOTECH
2	NSE/3MINDIA
3	NSE/AARTIDRUGS
4	NSE/AARTIIND
5	NSE/20MICRONS
6	NSE/3IINFOTECH
7	NSE/3MINDIA
8	NSE/AARTIDRUGS
9	NSE/AARTIIND
10	NSE/ADVANTA
11	NSE/AEGISCHEM
12	NSE/AFL
13	NSE/AGCNET
14	NSE/AGRODUTCH
15	NSE/ALMONDZ
16	NSE/ALOKTEXT
17	NSE/ALPHAGEO
18	NSE/AMARAJABAT
19	NSE/AMBIKCO
20	NSE/APTECHT
21	NSE/ARCHIES
22	NSE/ARIES
23	NSE/ARIHANT
24	NSE/AROGRANITE
